Timestamp,1. Age,2. Gender,3. Occupation,4. Which online food delivery application do you use most frequently?  ,5. How often do you order food online?  , 6. What is your approximate monthly spending on online food delivery services?  ,7. Which factor influences your choice of food delivery application the most?  ,  8. How important are discounts and promotional offers while choosing a food delivery application?  ,9. How important is delivery time while choosing a food delivery application?  , 10. Would you switch to another food delivery application if it offered better discounts?  ,11. Would you switch to another food delivery application for faster delivery service?  ,"12. According to you, which application provides better discounts and offers?  ","13. According to you, which application provides faster delivery service?  ","14.Overall, how satisfied are you with online food delivery services?  ",15. Any suggestions or feedback regarding online food delivery services? 
2026/05/06 8:28:10 pm GMT+5:30,18-21,Male,Student,Zomato,Occasionally,Below ₹1000,Discounts and Offers,4,3,Yes,No,Swiggy,Zomato,Neutral,"delivery fee too much,less number of discounts and offers makes the services bad"
2026/05/06 8:28:15 pm GMT+5:30,18-21,Male,Student,Zomato,Weekly,₹1000 – ₹3000,Discounts and Offers,5,3,Yes,Yes,Both Equally,Zomato,Very dissatisfied,no respond
2026/05/06 8:30:46 pm GMT+5:30,22-25,Male,Student,Zomato,Occasionally,Below ₹1000,Discounts and Offers,4,5,Yes,Maybe,Both Equally,Both Equally,Satisfied,All the  food aplication are well good and they all kar doing great job and I am happy with it.
2026/05/06 8:31:07 pm GMT+5:30,22-25,Male,Student,Zomato,Occasionally,₹3000 – ₹5000,Discounts and Offers,5,3,Yes,Yes,Both Equally,Both Equally,Satisfied,Better food quality 
2026/05/06 8:31:14 pm GMT+5:30,Above 30,Female,Others,Both Equally,Rarely,Below ₹1000,Customer Reviews and Ratings,5,5,Maybe,Maybe,Both Equally,Both Equally,Neutral,no respond
2026/05/06 8:32:51 pm GMT+5:30,26-30,Female,Others,Zomato,Occasionally,Below ₹1000,Discounts and Offers,5,3,Yes,Maybe,Zomato,Both Equally,Neutral,no respond
2026/05/06 8:34:18 pm GMT+5:30,18-21,Male,Student,no respond,Occasionally,Below ₹1000,Fast Delivery,5,5,Yes,Yes,Swiggy,Swiggy,Satisfied,Good
2026/05/06 8:39:44 pm GMT+5:30,Above 30,Male,Others,Zomato,Occasionally,Below ₹1000,Customer Reviews and Ratings,5,5,Yes,Yes,Zomato,Both Equally,Neutral,The overall convenience is great but I would appreciate more accurate real time tracking for the delivery drivers additionally ensuring that Hot and Cold items are separated during transport wood significantly improve the food quality upon arrival
2026/05/06 8:42:33 pm GMT+5:30,22-25,Male,Student,Swiggy,Occasionally,Above ₹5000,User-Friendly App Interface,4,3,Yes,Yes,Swiggy,Swiggy,Satisfied,Yaaa they are very genuine
2026/05/06 8:42:41 pm GMT+5:30,18-21,Male,Student,Both Equally,Occasionally,₹1000 – ₹3000,Discounts and Offers,3,4,Yes,No,Zomato,Swiggy,Satisfied,no respond
2026/05/06 8:45:20 pm GMT+5:30,18-21,Male,Student,Zomato,Occasionally,₹1000 – ₹3000,Customer Reviews and Ratings,5,5,Maybe,Maybe,Both Equally,Both Equally,Satisfied,Nice and good 
2026/05/06 8:46:41 pm GMT+5:30,26-30,Female,Working Professional,Both Equally,Rarely,Below ₹1000,Discounts and Offers,4,3,Yes,Yes,Both Equally,Zomato,Satisfied,Sometimes paid orders gets cancelled automatically by delivery agent mentioning that customer didn't answer the call while the call hasn't reached to customer. I've faced this issue twice.
2026/05/06 8:47:57 pm GMT+5:30,22-25,Male,Working Professional,Zomato,Occasionally,Below ₹1000,Discounts and Offers,5,3,Yes,Yes,Zomato,Zomato,Satisfied,Provide offers on common banks rather then such banks which are not common among customers.
2026/05/06 8:50:19 pm GMT+5:30,22-25,Male,Student,Both Equally,Occasionally,Below ₹1000,Discounts and Offers,4,4,Yes,Maybe,Both Equally,Both Equally,Satisfied,Both are good in their own ways 
2026/05/06 8:54:47 pm GMT+5:30,22-25,Male,Student,Zomato,Weekly,Below ₹1000,Discounts and Offers,5,4,No,No,Zomato,Zomato,Very satisfied,no respond
2026/05/06 8:56:32 pm GMT+5:30,18-21,Male,Student,Zomato,Occasionally,₹1000 – ₹3000,Discounts and Offers,5,4,Maybe,Maybe,Zomato,Both Equally,Neutral,Food should be warm enough to eat and better packaging service also kind off 
2026/05/06 9:00:07 pm GMT+5:30,26-30,Female,Business Owner,Swiggy,Daily,Below ₹1000,Fast Delivery,4,3,Yes,Yes,Swiggy,Swiggy,Very satisfied,It was very conviniet it is very easyyy
2026/05/06 9:10:32 pm GMT+5:30,22-25,Male,Student,Swiggy,Daily,₹1000 – ₹3000,Discounts and Offers,4,4,Maybe,Maybe,Both Equally,Both Equally,Satisfied,no respond
2026/05/06 9:11:10 pm GMT+5:30,18-21,Male,Student,Others,Rarely,Below ₹1000,Customer Reviews and Ratings,2,4,Yes,Yes,Both Equally,Both Equally,Neutral,Online delivery fast food they aren't related to me cause I'm already suffering with many dieses so i try to avoid fast food as much as possible but still in my perspective they need to improve the delivery experience of consumers and also need to add specific section about heath guidelines 
2026/05/06 9:14:30 pm GMT+5:30,22-25,Male,Others,Both Equally,Rarely,Below ₹1000,User-Friendly App Interface,5,5,No,Maybe,Both Equally,Both Equally,Neutral,no respond
2026/05/06 9:39:13 pm GMT+5:30,18-21,Male,Student,Swiggy,Occasionally,₹3000 – ₹5000,Customer Reviews and Ratings,5,5,Maybe,Maybe,Swiggy,Swiggy,Very satisfied,no respond
2026/05/06 9:49:54 pm GMT+5:30,Above 30,Female,Working Professional,Zomato,Weekly,₹1000 – ₹3000,Fast Delivery,5,5,Yes,Yes,Zomato,Zomato,Satisfied,Very useful
2026/05/06 10:05:00 pm GMT+5:30,Above 30,Male,Others,Swiggy,Weekly,Below ₹1000,Fast Delivery,4,4,Yes,Yes,Zomato,Swiggy,Satisfied,no respond
2026/05/06 10:05:33 pm GMT+5:30,18-21,Female,Student,Zomato,Weekly,₹3000 – ₹5000,Discounts and Offers,5,5,Yes,Maybe,Swiggy,Swiggy,Very satisfied,no respond
2026/05/06 10:08:40 pm GMT+5:30,18-21,Female,Student,Swiggy,Rarely,Below ₹1000,Restaurant Variety,5,5,Maybe,Maybe,Both Equally,Both Equally,Satisfied,no respond
2026/05/06 10:46:44 pm GMT+5:30,18-21,Male,Student,Both Equally,Weekly,₹3000 – ₹5000,Discounts and Offers,4,5,Yes,Yes,Swiggy,Zomato,Dissatisfied,no respond
2026/05/06 11:00:00 pm GMT+5:30,18-21,Male,Student,Zomato,Occasionally,Below ₹1000,Discounts and Offers,4,4,Yes,Maybe,Zomato,Both Equally,Neutral,no respond
2026/05/06 11:12:05 pm GMT+5:30,26-30,Female,Others,Swiggy,Weekly,₹1000 – ₹3000,Fast Delivery,4,4,Maybe,Yes,Both Equally,Zomato,Satisfied,No
2026/05/06 11:13:23 pm GMT+5:30,Above 30,Female,Student,Zomato,Rarely,Below ₹1000,Restaurant Variety,3,3,Maybe,Maybe,Zomato,Zomato,Neutral,Better packaging and management
2026/05/06 11:13:24 pm GMT+5:30,Above 30,Female,Student,Zomato,Rarely,Below ₹1000,Discounts and Offers,4,5,Maybe,No,Zomato,Zomato,Neutral,Maintenance of hygiene
2026/05/06 11:52:25 pm GMT+5:30,22-25,Female,Working Professional,Both Equally,Rarely,Below ₹1000,Discounts and Offers,5,1,Yes,Maybe,Both Equally,Both Equally,Very satisfied,no respond
2026/05/07 12:31:49 am GMT+5:30,22-25,Not Prefer to say,Student,Others,Rarely,Below ₹1000,Discounts and Offers,5,2,Maybe,Maybe,Zomato,Zomato,Neutral,no respond
2026/05/07 1:31:15 am GMT+5:30,18-21,Male,Student,Others,Weekly,₹1000 – ₹3000,Discounts and Offers,4,3,Yes,Maybe,Zomato,Both Equally,Neutral,no respond
2026/05/07 6:18:04 am GMT+5:30,26-30,Female,Others,Swiggy,Occasionally,Below ₹1000,Discounts and Offers,5,5,Yes,Yes,Swiggy,Swiggy,Satisfied,no respond
2026/05/07 12:49:04 pm GMT+5:30,Above 30,Male,Working Professional,Both Equally,Occasionally,₹1000 – ₹3000,Discounts and Offers,4,4,Yes,Yes,Both Equally,Both Equally,Satisfied,no respond
2026/05/07 1:39:48 pm GMT+5:30,22-25,Female,Student,Swiggy,Occasionally,Below ₹1000,Fast Delivery,5,4,Yes,Yes,Swiggy,Swiggy,Satisfied,no respond
2026/05/07 7:46:57 pm GMT+5:30,18-21,Male,Business Owner,Zomato,Daily,Above ₹5000,Restaurant Variety,5,5,Yes,Yes,Zomato,Zomato,Very satisfied,"Online food delivery services have become an important part of modern lifestyle because they provide convenience, time-saving benefits, and a wide variety of food choices. However, there are several suggestions and feedback points that can help improve customer satisfaction and overall service quality.

First, online food delivery platforms should focus more on timely delivery. Many customers become dissatisfied when their orders arrive late, especially during peak hours or bad weather conditions. Companies should improve their delivery management systems and provide more accurate estimated delivery times so customers can plan accordingly.

Second, food quality and hygiene should always be a top priority. Sometimes customers receive cold food, damaged packaging, or items that do not match the description shown in the application. Delivery services should regularly monitor restaurant quality standards and ensure proper packaging to maintain freshness and cleanliness.

Another important suggestion is improving customer support services. Customers often face issues such as missing items, delayed refunds, or incorrect orders. A quick and responsive customer support system can increase trust and improve the overall user experience. Live chat support and faster complaint resolution can make customers feel valued.

Online delivery applications should also work on reducing hidden charges. Many users feel disappointed when taxes, packaging fees, and delivery charges significantly increase the final bill. Transparent pricing policies and affordable delivery options can help build long-term customer loyalty.

In addition, applications can introduce more healthy food options and better filtering systems. Nowadays, many people prefer healthy meals, vegetarian food, low-calorie diets, or region-specific cuisines. Advanced search and recommendation systems can help users easily find food according to their preferences.

Delivery partners should also receive proper training and fair treatment because they play a major role in customer experience. Respectful behavior, professional communication, and safe delivery practices can positively impact customer satisfaction. Companies should support delivery workers with better incentives and safety measures.

Finally, online food delivery services should focus on environmental sustainability. Excessive plastic packaging creates environmental pollution. Using eco-friendly packaging materials and encouraging customers to choose “no cutlery” options can contribute to environmental protection.

Overall, online food delivery services are extremely beneficial and continue to grow rapidly, but improvements in delivery speed, customer support, pricing transparency, food quality, and sustainability can make these platforms more reliable and customer-friendly in the future."
2026/05/08 1:02:29 pm GMT+5:30,18-21,Female,Student,Swiggy,Occasionally,Below ₹1000,Discounts and Offers,5,4,Yes,Maybe,Swiggy,Swiggy,Satisfied,no respond
2026/05/08 2:47:37 pm GMT+5:30,Above 30,Male,Business Owner,Both Equally,Daily,Above ₹5000,User-Friendly App Interface,5,5,Maybe,Maybe,Both Equally,Both Equally,Satisfied,Keep improving your food quality and test also 
2026/05/28 7:09:47 pm GMT+5:30,18-21,Male,Student,Zomato,Occasionally,Below ₹1000,User-Friendly App Interface,5,3,Yes,No,Zomato,Both Equally,Satisfied,no respond
